CP,Localidad,Provincia,,,,
1132,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1133,CABA - Constitucion,Capital Federal,,,,
1134,CABA - Constitucion,Capital Federal,,,,
1135,CABA - Constitucion,Capital Federal,,,,
1136,CABA - Constitucion,Capital Federal,,,,
1137,CABA - Constitucion,Capital Federal,,,,
1138,CABA - Constitucion,Capital Federal,,,,
1139,CABA - Constitucion,Capital Federal,,,,
1140,CABA - Constitucion,Capital Federal,,,,
1141,CABA - Constitucion,Capital Federal,,,,
1142,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1143,CABA - Constitucion,Capital Federal,,,,
1144,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1145,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1146,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1147,CABA - San Telmo,Capital Federal,,,,
1148,CABA - Constitucion,Capital Federal,,,,
1149,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1150,CABA - San Telmo,Capital Federal,,,,
1151,CABA - Constitucion,Capital Federal,,,,
1152,CABA - Constitucion,Capital Federal,,,,
1153,CABA - Constitucion,Capital Federal,,,,
1154,CABA - Constitucion,Capital Federal,,,,
1155,CABA - San Telmo,Capital Federal,,,,
1156,CABA - San Telmo,Capital Federal,,,,
1157,CABA - San Telmo,Capital Federal,,,,
1158,CABA - San Telmo,Capital Federal,,,,
1159,CABA - La Boca,Capital Federal,,,,
1160,CABA - La Boca,Capital Federal,,,,
1161,CABA - La Boca,Capital Federal,,,,
1162,CABA - La Boca,Capital Federal,,,,
1163,CABA - La Boca,Capital Federal,,,,
1164,CABA - La Boca,Capital Federal,,,,
1165,CABA - La Boca,Capital Federal,,,,
1166,CABA - La Boca,Capital Federal,,,,
1167,CABA - La Boca,Capital Federal,,,,
1168,CABA - La Boca,Capital Federal,,,,
1169,CABA - La Boca,Capital Federal,,,,
1170,CABA - Balvanera,Capital Federal,,,,
1171,CABA - Balvanera,Capital Federal,,,,
1172,CABA - Almagro,Capital Federal,,,,
1173,CABA - Balvanera,Capital Federal,,,,
1174,CABA - Almagro,Capital Federal,,,,
1175,CABA - Almagro,Capital Federal,,,,
1176,CABA - Almagro,Capital Federal,,,,
1177,CABA - Almagro,Capital Federal,,,,
1178,CABA - Almagro,Capital Federal,,,,
1179,CABA - Almagro,Capital Federal,,,,
1180,CABA - Almagro,Capital Federal,,,,
1181,CABA - Almagro,Capital Federal,,,,
1182,CABA - Almagro,Capital Federal,,,,
1183,CABA - Almagro,Capital Federal,,,,
1184,CABA - Almagro,Capital Federal,,,,
1185,CABA - Almagro,Capital Federal,,,,
1186,CABA - Balvanera,Capital Federal,,,,
1187,CABA - Balvanera,Capital Federal,,,,
1188,CABA - Balvanera,Capital Federal,,,,
1189,CABA - Balvanera,Capital Federal,,,,
1190,CABA - Balvanera,Capital Federal,,,,
1191,CABA - Almagro,Capital Federal,,,,
1192,CABA - Almagro,Capital Federal,,,,
1193,CABA - Balvanera,Capital Federal,,,,
1194,CABA - Almagro,Capital Federal,,,,
1195,CABA - Almagro,Capital Federal,,,,
1196,CABA - Almagro,Capital Federal,,,,
1197,CABA - Almagro,Capital Federal,,,,
1198,CABA - Balvanera,Capital Federal,,,,
1199,CABA - Almagro,Capital Federal,,,,
1200,CABA - Almagro,Capital Federal,,,,
1201,CABA - Almagro,Capital Federal,,,,
1202,CABA - Almagro,Capital Federal,,,,
1203,CABA - Balvanera,Capital Federal,,,,
1204,CABA - Almagro,Capital Federal,,,,
1205,CABA - Almagro,Capital Federal,,,,
1206,CABA - Balvanera,Capital Federal,,,,
1207,CABA - Balvanera,Capital Federal,,,,
1208,CABA - Balvanera,Capital Federal,,,,
